finding_id,priority,category,service,account_id,account_name,region,title,summary,est_monthly_savings_usd,confidence,risk,status,resource_ids,recommended_action
FND-5530ca85579570b0,P1,Anomaly,AmazonCloudWatch,,,,Daily Cost Spike: AmazonCloudWatch on 2026-04-10 ($705 vs avg $432),"Daily cost for AmazonCloudWatch spiked to $705.38 on 2026-04-10, which is 4.1 standard deviations above the mean ($432.35).",8191.11,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-10.
FND-8a468dd3fd4a146c,P1,Anomaly,Amazon GuardDuty,,,,Daily Cost Spike: Amazon GuardDuty on 2026-04-01 ($309 vs avg $138),"Daily cost for Amazon GuardDuty spiked to $309.45 on 2026-04-01, which is 3.0 standard deviations above the mean ($137.62).",5154.84,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-01.
FND-3df8df824b76c5cd,P1,Anomaly,Amazon GuardDuty,,,,Daily Cost Spike: Amazon GuardDuty on 2026-04-02 ($295 vs avg $138),"Daily cost for Amazon GuardDuty spiked to $295.38 on 2026-04-02, which is 2.8 standard deviations above the mean ($137.62).",4732.74,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-02.
FND-d0686663b09d2a06,P1,Anomaly,AWS CloudTrail,,,,Daily Cost Spike: AWS CloudTrail on 2026-04-19 ($72 vs avg $29),"Daily cost for AWS CloudTrail spiked to $72.01 on 2026-04-19, which is 3.9 standard deviations above the mean ($28.79).",1296.45,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-19.
FND-7dc376792cf6b08e,P1,Anomaly,AWS CloudTrail,,,,Daily Cost Spike: AWS CloudTrail on 2026-04-06 ($58 vs avg $29),"Daily cost for AWS CloudTrail spiked to $57.96 on 2026-04-06, which is 2.6 standard deviations above the mean ($28.79).",875.07,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-06.
FND-302555769e1268cf,P1,Anomaly,AWS Config,,,,Daily Cost Spike: AWS Config on 2026-04-12 ($31 vs avg $9),"Daily cost for AWS Config spiked to $31.30 on 2026-04-12, which is 4.0 standard deviations above the mean ($8.99).",669.26,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-12.
FND-5332304715a83fdd,P1,Anomaly,AWS Security Hub,,,,Daily Cost Spike: AWS Security Hub on 2026-04-12 ($11 vs avg $5),"Daily cost for AWS Security Hub spiked to $11.12 on 2026-04-12, which is 3.4 standard deviations above the mean ($5.03).",182.56,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-12.
FND-11940b561f12033e,P1,Anomaly,AWS Secrets Manager,,,,Daily Cost Spike: AWS Secrets Manager on 2026-04-19 ($13 vs avg $7),"Daily cost for AWS Secrets Manager spiked to $12.57 on 2026-04-19, which is 4.2 standard deviations above the mean ($6.61).",178.93,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-19.
FND-19357867cc00c26b,P1,Anomaly,AWS Security Hub,,,,Daily Cost Spike: AWS Security Hub on 2026-04-05 ($10 vs avg $5),"Daily cost for AWS Security Hub spiked to $9.80 on 2026-04-05, which is 2.7 standard deviations above the mean ($5.03).",142.86,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-05.
FND-3748378674faf280,P1,Anomaly,AWS Secrets Manager,,,,Daily Cost Spike: AWS Secrets Manager on 2026-04-06 ($10 vs avg $7),"Daily cost for AWS Secrets Manager spiked to $9.79 on 2026-04-06, which is 2.2 standard deviations above the mean ($6.61).",95.57,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-06.
FND-ffa65ff91fe0d888,P1,Anomaly,Amazon Simple Email Service,,,,Daily Cost Spike: Amazon Simple Email Service on 2026-04-14 ($7 vs avg $5),"Daily cost for Amazon Simple Email Service spiked to $7.04 on 2026-04-14, which is 2.5 standard deviations above the mean ($5.10).",58.00,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-14.
FND-148cd760cb02013f,P1,Anomaly,Amazon ElastiCache,,,,Daily Cost Spike: Amazon ElastiCache on 2026-04-22 ($451 vs avg $451),"Daily cost for Amazon ElastiCache spiked to $450.77 on 2026-04-22, which is 3.6 standard deviations above the mean ($450.72).",1.38,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-22.
FND-be31d4c14fe6659e,P1,Anomaly,Amazon ElastiCache,,,,Daily Cost Spike: Amazon ElastiCache on 2026-04-20 ($451 vs avg $451),"Daily cost for Amazon ElastiCache spiked to $450.76 on 2026-04-20, which is 3.2 standard deviations above the mean ($450.72).",1.22,Medium,Low,open,,Investigate the root cause of the spike. Check CloudTrail for unusual API calls. Review new resources created on or before 2026-04-20.
FND-8159b6c4136da2fb,P2,Observability,Amazon CloudWatch,,,,High CloudWatch Logs Cost ($12544/month) in ,"CloudWatch costs in  total $12544.21/month, exceeding the $50 threshold.",5017.68,Medium,Low,open,,Review log groups without retention policies. Set retention (e.g. 30-90 days) to reduce storage costs. Reduce verbose logging where appropriate.
FND-9d7c66dead7b1667,P2,Architecture,Amazon Virtual Private Cloud,,,,High NAT Gateway Cost ($566/month) in ,"NAT Gateway charges in  total $565.65/month, exceeding the $100 threshold.",169.70,Medium,Medium,open,,Review traffic routing. Consider VPC endpoints for S3/DynamoDB to eliminate NAT data processing charges. Review cross-AZ NAT Gateway usage.
FND-6f2f534130e98ab8,P2,Waste,Amazon EC2,,,ap-southeast-1,"Stopped EC2 Instance (i-07970379c328e00f1, t3a.large)",Instance i-07970379c328e00f1 has been stopped. Attached EBS volumes continue to incur charges.,0.00,Medium,Medium,open,i-07970379c328e00f1,Confirm the instance is no longer needed. Terminate with: aws ec2 terminate-instances --instance-ids i-07970379c328e00f1
FND-495ccbb14de4be86,P2,Waste,Amazon EC2,,,ap-southeast-1,"Stopped EC2 Instance (i-0d16f29483c77b603, m6a.large)",Instance i-0d16f29483c77b603 has been stopped. Attached EBS volumes continue to incur charges.,0.00,Medium,Medium,open,i-0d16f29483c77b603,Confirm the instance is no longer needed. Terminate with: aws ec2 terminate-instances --instance-ids i-0d16f29483c77b603
